Ticker	Company	Country	Market_Cap_Approx	Canonical_URL
LLY	Eli Lilly	USA	~$960 Billion	https://www.lilly.com
JNJ	Johnson & Johnson	USA	~$530 Billion	https://www.jnj.com
ABBV	AbbVie	USA	~$390 Billion	https://www.abbvie.com
ROG.SW	Roche	Switzerland	~$350 Billion	https://www.roche.com
UNH	UnitedHealth Group	USA	~$310 Billion	https://www.unitedhealthgroup.com
AZN	AstraZeneca	UK	~$290 Billion	https://www.astrazeneca.com
MRK	Merck & Co.	USA	~$280 Billion	https://www.merck.com
NOVN.SW	Novartis	Switzerland	~$275 Billion	https://www.novartis.com
NVO	Novo Nordisk	Denmark	~$270 Billion	https://www.novonordisk.com
TMO	Thermo Fisher Scientific	USA	~$230 Billion	https://www.thermofisher.com
ABT	Abbott Laboratories	USA	~$217 Billion	https://www.abbott.com
ISRG	Intuitive Surgical	USA	~$200 Billion	https://www.intuitive.com
AMGN	Amgen	USA	~$180 Billion	https://www.amgen.com
DHR	Danaher	USA	~$170 Billion	https://www.danaher.com
GILD	Gilead Sciences	USA	~$150 Billion	https://www.gilead.com
PFE	Pfizer	USA	~$147 Billion	https://www.pfizer.com
BSX	Boston Scientific	USA	~$145 Billion	https://www.bostonscientific.com
SYK	Stryker	USA	~$137 Billion	https://www.stryker.com
MDT	Medtronic	USA	~$130 Billion	https://www.medtronic.com
SAN.PA	Sanofi	France	~$120 Billion	https://www.sanofi.com
BMY	Bristol-Myers Squibb	USA	~$115 Billion	https://www.bms.com
VRTX	Vertex Pharmaceuticals	USA	~$113 Billion	https://www.vrtx.com
HCA	HCA Healthcare	USA	~$110 Billion	https://www.hcahealthcare.com
CVS	CVS Health	USA	~$102 Billion	https://www.cvshealth.com
GSK	GSK (GlaxoSmithKline)	UK	~$100 Billion	https://www.gsk.com
MCK	McKesson	USA	~$95 Billion	https://www.mckesson.com
4519	Chugai Pharmaceutical	Japan	~$90 Billion	https://www.chugai-pharm.co.jp
ELV	Elevance Health	USA	~$80 Billion	https://www.elevancehealth.com
REGN	Regeneron Pharmaceuticals	USA	~$80 Billion	https://www.regeneron.com
CI	The Cigna Group	USA	~$71 Billion	https://www.thecignagroup.com
MRK.DE	Merck KGaA	Germany	~$65 Billion	https://www.merckgroup.com
SHL.DE	Siemens Healthineers	Germany	~$61 Billion	https://www.siemens-healthineers.com
600276	Jiangsu Hengrui Medicine	China	~$60 Billion	https://www.hengrui.com
UCB.BR	UCB	Belgium	~$58 Billion	https://www.ucb.com
CSL.AX	CSL Limited	Australia	~$57 Billion	https://www.csl.com
ZTS	Zoetis	USA	~$55 Billion	https://www.zoetis.com
BDX	Becton Dickinson	USA	~$55 Billion	https://www.bd.com
4502	Takeda Pharmaceutical	Japan	~$54 Billion	https://www.takeda.com
ARGX	argenx	Netherlands	~$50 Billion	https://www.argenx.com
LONN.SW	Lonza Group	Switzerland	~$50 Billion	https://www.lonza.com
EW	Edwards Lifesciences	USA	~$50 Billion	https://www.edwards.com
BAYN.DE	Bayer	Germany	~$48 Billion	https://www.bayer.com
ALNY	Alnylam Pharmaceuticals	USA	~$48 Billion	https://www.alnylam.com
CAH	Cardinal Health	USA	~$47 Billion	https://www.cardinalhealth.com
GALD.SW	Galderma	Switzerland	~$47 Billion	https://www.galderma.com
2359	WuXi AppTec	China	~$46 Billion	https://www.wuxiapptec.com
SUNPHARMA.NS	Sun Pharmaceutical	India	~$46 Billion	https://www.sunpharma.com
4568	Daiichi Sankyo	Japan	~$43 Billion	https://www.daiichisankyo.com
A	Agilent Technologies	USA	~$41 Billion	https://www.agilent.com
VEEV	Veeva Systems	USA	~$40 Billion	https://www.veeva.com
